CMN,anziani,fam,istr_sup,maschi,minori,occ,pop,stran
58052,212,648,116,716,210,561,1423,201
58053,152,398,64,458,133,314,921,101
58054,1369,3431,914,3697,1187,2865,7655,593
58055,182,392,69,405,123,301,792,73
58056,901,2777,367,3558,1252,2642,7095,1314
58057,6419,19611,4660,22021,8054,18764,45321,4188
58058,497,1394,205,1497,443,1113,2995,369
58059,2783,9645,1730,11092,4165,9385,22612,3299
58060,1543,5052,1104,5815,2101,4861,11844,1479
58061,251,559,82,569,146,468,1214,114
58062,350,938,147,1020,309,801,2062,194
58063,909,2193,403,2430,812,2033,5107,451
58064,1532,3506,1401,4103,1406,3400,8557,424
58065,5624,17624,4390,19957,7397,16889,41258,5086
58066,284,859,141,1002,313,759,1992,244
58067,408,1055,162,1232,368,998,2480,224
58068,1298,3680,806,4063,1337,3308,8424,1303
58069,248,618,101,685,189,481,1339,153
58070,306,773,248,942,308,729,1872,163
58071,324,860,140,940,303,794,1900,202
58072,7767,21086,4068,24004,7623,17502,48500,4865
58073,1110,2810,491,3212,948,2407,6455,591
58074,3134,9137,1842,10784,3749,8641,21921,2433
58075,1887,5298,877,6352,2169,4941,12835,1341
58076,62,109,9,115,22,76,217,25
58077,151,357,38,358,93,247,739,135
58078,369,978,97,1123,376,818,2275,228
58079,8262,27366,5265,31775,11267,25426,63767,8117
58080,180,549,78,574,170,453,1117,226
58081,1381,4209,1022,5111,1927,4130,10274,1736
58082,1403,4479,922,4840,1747,3997,10005,1751
58083,152,361,46,362,86,261,733,109
58084,44,111,17,98,11,82,184,5
58085,79,183,14,182,52,136,355,9
58086,2173,6600,1702,8554,2981,6472,16999,1875
58087,65,111,9,122,24,82,251,29
58088,1772,4944,1109,5998,1973,4636,11978,1011
58089,170,403,52,492,124,351,951,76
58090,124,324,34,323,69,222,663,13
58091,485079,1325647,499797,1311151,433898,1158078,2770226,356573
58092,252,574,104,590,161,522,1258,122
58093,1161,3328,1022,3507,1127,2910,7231,1030
58094,147,389,39,415,117,318,851,77
58095,285,713,84,729,199,509,1454,73
58096,441,1281,207,1401,411,1063,2762,327
58097,3534,9069,2141,8946,2554,7115,18516,1767
58098,631,2160,338,2408,845,1845,4833,771
58099,627,1570,227,1745,515,1336,3504,277
58100,524,1295,201,1563,427,1177,3125,274
58101,32,106,13,100,19,61,171,14
58102,1661,3999,836,4388,1316,3449,8985,596
58103,1601,3841,781,4175,1140,3395,8515,623
58104,8645,23243,5344,26945,9023,20996,55150,7210
58105,862,2230,339,2415,735,1980,4828,327
58106,209,508,106,513,146,422,1047,114
58107,1114,2825,743,2757,822,2114,5696,789
58108,76,138,4,118,18,98,251,9
58109,64,174,20,150,24,97,290,37
58110,2151,6095,1006,7733,2849,5811,15662,1664
58111,8303,22092,4605,25543,8664,19562,52312,4915
58112,586,1563,188,1799,578,1399,3676,320
58113,33,97,11,90,8,60,165,8
58114,2307,7119,1212,9032,3357,6901,18010,2293
58115,1862,5112,772,6503,2366,4821,13191,783
58116,5651,18166,3328,19496,6621,15325,40160,6516
58117,6375,22679,3244,24703,8350,18964,48667,6171
58118,6329,16380,4399,18443,6316,15375,38675,2977
58119,1875,6194,1041,7842,3009,6217,15714,2172
58120,10337,33200,6164,39789,14603,32358,79995,9593
58122,4096,12711,2234,15853,5931,12285,32139,5396
59001,10092,30320,4226,36367,13040,27980,73429,9021
59002,335,718,90,737,171,541,1439,51
59003,119,271,33,310,51,217,587,5
59004,803,1747,339,2019,638,1496,4172,106
59005,5261,12817,1885,18114,6332,13762,36481,3938
59006,1894,4258,718,5174,1556,3975,10482,1178
59007,5436,15229,2908,19613,6820,14471,39237,4227
59008,6791,15574,4526,17923,5849,13479,37341,1374
59009,4281,9126,2682,9486,2576,6968,19755,881
59010,1759,4670,937,5213,1537,3765,10344,780
