CMN,dominio,anno,valore
1065,F,2018,913
1065,F,2019,904
1065,PF,2018,2210
1065,PF,2019,2173
1066,F,2018,4454
1066,F,2019,4422
1066,PF,2018,9768
1066,PF,2019,9688
1067,F,2018,249
1067,F,2019,241
1067,PF,2018,432
1067,PF,2019,416
1068,F,2018,2713
1068,F,2019,2699
1068,PF,2018,6507
1068,PF,2019,6457
1069,F,2018,1031
1069,F,2019,1030
1069,PF,2018,2274
1069,PF,2019,2256
1070,F,2018,2404
1070,F,2019,2394
1070,PF,2018,5411
1070,PF,2019,5402
1071,F,2018,767
1071,F,2019,763
1071,PF,2018,1803
1071,PF,2019,1775
1072,F,2018,571
1072,F,2019,572
1072,PF,2018,1025
1072,PF,2019,1021
1073,F,2018,99
1073,F,2019,99
1073,PF,2018,165
1073,PF,2019,161
1074,F,2018,518
1074,F,2019,507
1074,PF,2018,962
1074,PF,2019,948
1075,F,2018,209
1075,F,2019,205
1075,PF,2018,355
1075,PF,2019,340
1076,F,2018,742
1076,F,2019,738
1076,PF,2018,1599
1076,PF,2019,1591
1077,F,2018,904
1077,F,2019,907
1077,PF,2018,2057
1077,PF,2019,2045
1078,F,2018,16317
1078,F,2019,16401
1078,PF,2018,36176
1078,PF,2019,36109
1079,F,2018,111
1079,F,2019,106
1079,PF,2018,223
1079,PF,2019,217
1080,F,2018,478
1080,F,2019,484
1080,PF,2018,872
1080,PF,2019,864
1081,F,2018,731
1081,F,2019,735
1081,PF,2018,1620
1081,PF,2019,1595
1082,F,2018,12077
1082,F,2019,12130
1082,PF,2018,26664
1082,PF,2019,26595
1083,F,2018,155
1083,F,2019,152
1083,PF,2018,386
1083,PF,2019,384
1084,F,2018,117
1084,F,2019,113
1084,PF,2018,240
1084,PF,2019,232
1085,F,2018,165
1085,F,2019,162
1085,PF,2018,333
1085,PF,2019,326
1086,F,2018,8277
1086,F,2019,8304
1086,PF,2018,18275
1086,PF,2019,18148
1087,F,2018,93
1087,F,2019,93
1087,PF,2018,207
1087,PF,2019,198
1088,F,2018,711
1088,F,2019,705
1088,PF,2018,1500
1088,PF,2019,1488
1089,F,2018,1553
1089,F,2019,1559
1089,PF,2018,3150
1089,PF,2019,3127
1090,F,2018,22526
1090,F,2019,22609
1090,PF,2018,49621
1090,PF,2019,49400
1091,F,2018,159
1091,F,2019,150
1091,PF,2018,311
1091,PF,2019,299
1092,F,2018,272
1092,F,2019,269
1092,PF,2018,577
1092,PF,2019,585
1093,F,2018,2204
1093,F,2019,2186
1093,PF,2018,4577
1093,PF,2019,4489
1094,F,2018,1493
1094,F,2019,1505
1094,PF,2018,3141
1094,PF,2019,3110
1095,F,2018,226
1095,F,2019,216
1095,PF,2018,485
1095,PF,2019,462
1096,F,2018,447
1096,F,2019,443
1096,PF,2018,982
1096,PF,2019,953
1097,F,2018,3579
1097,F,2019,3601
1097,PF,2018,7884
1097,PF,2019,7846
1098,F,2018,4487
1098,F,2019,4507
1098,PF,2018,9592
1098,PF,2019,9540
1099,F,2018,3788
1099,F,2019,3834
1099,PF,2018,8872
1099,PF,2019,8898
1100,F,2018,149
1100,F,2019,144
1100,PF,2018,250
1100,PF,2019,239
1101,F,2018,2102
1101,F,2019,2111
1101,PF,2018,5186
1101,PF,2019,5125
1102,F,2018,980
1102,F,2019,972
1102,PF,2018,2232
1102,PF,2019,2196
1103,F,2018,311
1103,F,2019,307
1103,PF,2018,508
1103,PF,2019,506
1104,F,2018,1169
1104,F,2019,1161
1104,PF,2018,2656
1104,PF,2019,2632
1105,F,2018,365
1105,F,2019,368
1105,PF,2018,761
1105,PF,2019,760
1106,F,2018,1003
1106,F,2019,1006
1106,PF,2018,2301
1106,PF,2019,2260
1107,F,2018,1498
1107,F,2019,1465
1107,PF,2018,3326
1107,PF,2019,3280
1108,F,2018,141
1108,F,2019,142
1108,PF,2018,280
1108,PF,2019,263
1109,F,2018,706
1109,F,2019,709
1109,PF,2018,1613
1109,PF,2019,1641
1110,F,2018,1245
1110,F,2019,1254
1110,PF,2018,2826
1110,PF,2019,2835
1111,F,2018,244
1111,F,2019,248
1111,PF,2018,548
1111,PF,2019,548
1112,F,2018,4224
1112,F,2019,4233
1112,PF,2018,9392
1112,PF,2019,9332
1113,F,2018,565
1113,F,2019,550
1113,PF,2018,1148
1113,PF,2019,1116
1114,F,2018,289
1114,F,2019,290
1114,PF,2018,607
1114,PF,2019,606
1115,F,2018,7310
1115,F,2019,7361
1115,PF,2018,15925
1115,PF,2019,15949
1116,F,2018,1604
1116,F,2019,1611
1116,PF,2018,3959
1116,PF,2019,3959
1117,F,2018,345
1117,F,2019,342
1117,PF,2018,674
1117,PF,2019,668
1118,F,2018,119
1118,F,2019,118
1118,PF,2018,204
1118,PF,2019,197
1119,F,2018,436
1119,F,2019,428
1119,PF,2018,999
1119,PF,2019,981
1120,F,2018,16705
1120,F,2019,16772
1120,PF,2018,36796
1120,PF,2019,36742
1121,F,2018,25
1121,F,2019,27
1121,PF,2018,43
1121,PF,2019,45
1122,F,2018,347
1122,F,2019,342
1122,PF,2018,703
1122,PF,2019,694
1123,F,2018,158
1123,F,2019,160
1123,PF,2018,386
1123,PF,2019,380
1124,F,2018,200
1124,F,2019,202
1124,PF,2018,391
1124,PF,2019,397
1125,F,2018,11332
1125,F,2019,11392
1125,PF,2018,22981
1125,PF,2019,22904
1126,F,2018,757
1126,F,2019,759
1126,PF,2018,1795
1126,PF,2019,1783
1127,F,2018,3703
1127,F,2019,3721
1127,PF,2018,8826
1127,PF,2019,8834
1128,F,2018,2415
1128,F,2019,2413
1128,PF,2018,4922
1128,PF,2019,4900
1129,F,2018,656
1129,F,2019,683
1129,PF,2018,1425
1129,PF,2019,1441
1130,F,2018,6827
1130,F,2019,6850
1130,PF,2018,16346
1130,PF,2019,16355
1131,F,2018,101
1131,F,2019,101
1131,PF,2018,167
1131,PF,2019,160
1132,F,2018,838
1132,F,2019,837
1132,PF,2018,1804
1132,PF,2019,1784
1133,F,2018,228
1133,F,2019,225
1133,PF,2018,443
1133,PF,2019,444
1134,F,2018,756
1134,F,2019,750
1134,PF,2018,1429
1134,PF,2019,1417
1135,F,2018,723
1135,F,2019,723
1135,PF,2018,1725
1135,PF,2019,1700
1136,F,2018,458
1136,F,2019,462
1136,PF,2018,1023
1136,PF,2019,1036
1137,F,2018,511
1137,F,2019,506
1137,PF,2018,1163
1137,PF,2019,1153
1139,F,2018,3417
1139,F,2019,3451
1139,PF,2018,7030
1139,PF,2019,7038
1140,F,2018,240
1140,F,2019,244
1140,PF,2018,499
1140,PF,2019,509
1141,F,2018,237
1141,F,2019,235
1141,PF,2018,569
1141,PF,2019,567
1142,F,2018,509
1142,F,2019,507
1142,PF,2018,1165
1142,PF,2019,1161
1143,F,2018,197
1143,F,2019,190
1143,PF,2018,416
1143,PF,2019,412
1144,F,2018,556
1144,F,2019,557
1144,PF,2018,1278
1144,PF,2019,1277
1145,F,2018,42
1145,F,2019,41
1145,PF,2018,54
1145,PF,2019,53
1146,F,2018,1723
1146,F,2019,1725
1146,PF,2018,3858
1146,PF,2019,3858
1147,F,2018,351
1147,F,2019,348
1147,PF,2018,669
1147,PF,2019,665
1148,F,2018,1825
1148,F,2019,1848
1148,PF,2018,4073
1148,PF,2019,4108
1149,F,2018,425
1149,F,2019,429
1149,PF,2018,803
1149,PF,2019,817
1150,F,2018,577
1150,F,2019,595
1150,PF,2018,1205
1150,PF,2019,1237
1318,F,2018,558
1318,PF,2018,1008
1152,F,2018,414
1152,F,2019,418
1152,PF,2018,764
1152,PF,2019,763
1153,F,2018,165
1153,F,2019,165
1153,PF,2018,390
1153,PF,2019,381
1154,F,2018,307
1154,F,2019,307
1154,PF,2018,641
1154,PF,2019,641
1155,F,2018,185
1155,F,2019,187
1155,PF,2018,344
1155,PF,2019,335
1156,F,2018,26376
1156,F,2019,26442
1156,PF,2018,56468
1156,PF,2019,56252
1157,F,2018,23
1157,F,2019,22
1157,PF,2018,33
1157,PF,2019,32
1158,F,2018,319
